Councillor,Profile pic,Wikipedia,Biography
A.A. Heaps,,https://en.wikipedia.org/wiki/Adrian_Heaps,"Adrian A. Heaps is a former politician in Toronto, Ontario, Canada. He was the member of Toronto City Council for Scarborough Southwest Ward 35 from 2006 to 2010."
Adam Giambrone,,https://en.wikipedia.org/wiki/Adam_Giambrone,"Adam Giambrone is a transportation consultant and retired politician who served on Toronto City Council from 2003 to 2010, representing Ward 18 Davenport. Giambrone served as the chair of the TTC from 2006 to 2010."
Adam Vaughan,,https://en.wikipedia.org/wiki/Adam_Vaughan,"Adam G. Vaughan previously sat on Toronto City Council, representing Ward 20 Trinity—Spadina from 2006 until he resigned in 2014 to run in a federal by-election. He served as a Member of Parliament from 2014 until 2021 for Spadina—Fort York."
Alejandra Bravo,,https://en.wikipedia.org/wiki/Alejandra_Bravo_(politician),Alejandra Bravo was elected to represent Ward 9 Davenport on Toronto City Council following the 2022 municipal election.
Amber Morley,,https://en.wikipedia.org/wiki/Amber_Morley,Amber Morley has represented Ward 3 Etobicoke—Lakeshore on Toronto City Council since 2022. She has also served as the deputy mayor of Toronto for Etobicoke and York since 2023.
Ana Bailão,,https://en.wikipedia.org/wiki/Ana_Bail%C3%A3o,Ana Bailão represented Davenport on Toronto City Council from 2010 until 2022. She was the deputy mayor of Toronto representing Toronto and East York from 2017 to 2022.
Anthony Perruzza,,https://en.wikipedia.org/wiki/Anthony_Perruzza,Anthony Perruzza has served on Toronto City Council since 2006. He currently represents Ward 7 Humber River—Black Creek.
Ausma Malik,,https://en.wikipedia.org/wiki/Ausma_Malik,Ausma Malik serves as the deputy mayor of Toronto representing Toronto and East York. Malik was elected to represent Ward 10 Spadina—Fort York on Toronto City Council in the 2022 election. She was appointed as statutory (first) deputy mayor in 2023.
Bill Saundercook,,https://en.wikipedia.org/wiki/Bill_Saundercook,"Bill Saundercook was a city councillor in Toronto, Ontario, Canada for Ward 13 Parkdale-High Park."
Brad Bradford,,https://en.wikipedia.org/wiki/Brad_Bradford,Brad Bradford is an urban planner who has represented Ward 19 Beaches—East York on Toronto City Council since 2018.
Brian Ashton,,https://en.wikipedia.org/wiki/Brian_Ashton_(politician),"Brian Ashton represented Ward 36 Scarborough Southwest from amalgamation in 1997 to 2010. He did not run for re-election in the 2010 municipal election and was succeeded by Gary Crawford. He was first elected in 1984 as a Scarborough alderman, before being elected to Metro Toronto Council in 1988 until amalgamation in 1997. "
Case Ootes,,https://en.wikipedia.org/wiki/Case_Ootes,"Case Ootes was the deputy mayor of Toronto from 1998 to 2003. On Toronto City Council, Ootes represented East York's Ward 29 Broadview—Greenwood. He was first elected in the 1990s and served on council through the 1998 amalgamation until 2010."
Cesar Palacio,,https://en.wikipedia.org/wiki/Cesar_Palacio,Cesar Palacio was the Toronto city councillor for Ward 17 Davenport during the years 2003–2018.
Ceta Ramkhalawansingh,,https://en.wikipedia.org/wiki/Ceta_Ramkhalawansingh,"Ceta Ramkhalawansingh was appointed on July 7, 2014 to represent Ward 20 (Trinity—Spadina) on Toronto City Council, following the resignation of Adam Vaughan. Her term ended on November 30, 2014."
Chin Lee,,https://en.wikipedia.org/wiki/Chin_Lee,Chin Lee is a former city councillor for Ward 41 Scarborough-Rouge River until his resignation in May 2018. Lee is one of Toronto City Council's three appointees to the seven-member Toronto Police Services Board where he presently serves as vice-chair.
Chris Moise,,https://en.wikipedia.org/wiki/Chris_Moise,Chris Moise was elected to represent Ward 13 Toronto Centre on Toronto City Council following the 2022 Toronto municipal election.
Christin Carmichael Greb,,https://en.wikipedia.org/wiki/Christin_Carmichael_Greb,Christin Carmichael Greb is a realtor and former politician who represented Ward 16 Eglinton—Lawrence on Toronto City Council from 2014 to 2018.
Cliff Jenkins,,https://en.wikipedia.org/wiki/Cliff_Jenkins,"Cliff Jenkins is a former city councillor. He represented Ward 25 which was one of the two Don Valley West wards, from 2003 to 2010. "
Cynthia Lai,,https://en.wikipedia.org/wiki/Cynthia_Lai,Cynthia Lai represented Ward 23 Scarborough North on the Toronto City Council from 2018 to 2022.
David Miller,,https://en.wikipedia.org/wiki/David_Miller_(Canadian_politician),David Raymond Miller is a lawyer and former politician who served as the 63rd mayor of Toronto from 2003 to 2010.
David Shiner,,https://en.wikipedia.org/wiki/David_Shiner_(politician),"David Shiner represented ward 24, one of the two wards in Willowdale. He was first elected to North York city council in 1991. After amalgamation, Shiner was elected to Toronto City Council in 1997."
